signal,direction,n_trades,n_tickers,n_entry_dates,win_rate,avg_return,median_return,std_return,skewness,kurtosis,profit_factor,expectancy,sharpe,sortino,max_drawdown,calmar,reward_risk_ratio,avg_mfe,avg_mae,median_mfe,median_mae,mean_return,ci_lower,ci_upper,ci_method,hac_ci_lower,hac_ci_upper,hac_se,effect_size_cohens_d,cohens_d_ci_lower,cohens_d_ci_upper,p_value_vs_zero,p_adj_vs_zero,reject_vs_zero,matched_null_mean,excess_return_vs_matched_random,p_value_vs_matched_random,p_adj_vs_matched_random,reject_vs_matched_random,p_value_vs_baseline_welch,p_adj_vs_baseline_welch,beats_matched_random,significance_label,low_sample_warning,statistically_significant
ict_nwog_gap_down,-1,130643,496,851,0.4280826374164708,-0.0073143324730519,-0.0082813373595631,0.0656073252438814,0.0594386999906431,7.907816008093292,0.7252241865302055,-0.0073143324730519,-0.5596578959652143,-0.7938501448836243,-1.0,-0.2163129814437751,0.966602490147007,0.041349732197323,-0.0477834915961171,0.0285865881572264,-0.0356007343885758,-0.006786289095326,-0.0077055922904737,-0.0058487306621601,percentile_bootstrap_subsample_20000,-0.010980863851937,-0.0025917143387149,0.0021401284700183,-0.1031901606454811,-0.1176016204567286,-0.0888382192410627,0.0006315100580955,0.0011399566176904,True,-0.0071069641457419,-0.00020736832731,0.8978668977720463,1.0,False,1.0,1.0,False,not_significant,False,False
ict_ob_bearish_mitigated,1,20112,496,3504,0.5658313444709626,0.0068463022452767,0.0067156232497617,0.0556367143167538,0.4420692602047134,5.789938665302543,1.4176348732430832,0.0068463022452767,0.6177245534934865,0.9239070457709994,-0.9291117035228452,0.1538576631175773,1.0829086074782182,0.0425871368559723,-0.0368785088929793,0.0315523317699918,-0.0267478791440145,0.0069071912449918,0.0061295997881708,0.0076884761636943,percentile_bootstrap_subsample_20000,0.0045598638847114,0.0092545186052722,0.0011976379975756,0.1241739019320603,0.1104782856493528,0.137875329222468,1.087379963143738e-08,5.888580723486089e-08,True,0.0070850250551491,-0.0002387228098723,0.7096801957521306,1.0,False,0.9392170110071824,1.0,False,not_significant,False,False
ict_mss_bullish,1,36506,496,3747,0.5661535090122172,0.0067595233126525,0.0076476374431769,0.0614191247560754,0.4387954868995067,7.16476921159768,1.3643205009199169,0.0067595233126525,0.5524751103095645,0.8085506319687356,-0.9029565486491542,0.1448591819375443,1.0412614467539565,0.0448683333797494,-0.0397899594664969,0.0336996941654742,-0.0280237086262927,0.0066050633187129,0.0057567782288333,0.0074701046041877,percentile_bootstrap_subsample_20000,0.0034346276682071,0.0097754989692186,0.0016175989204422,0.1073565633859303,0.0936141788780686,0.1211467944052357,2.9313015294259347e-05,6.788277226039006e-05,True,0.0071151225456977,-0.0003555992330452,0.868734160506178,1.0,False,0.9819845247513832,1.0,False,not_significant,False,False
ict_liquidity_buyside_swept,1,44261,496,3852,0.5705926210433565,0.0064167267328184,0.0072672581002346,0.0559268327252092,0.4169234107158529,7.640105347633867,1.376750768580476,0.0064167267328184,0.5759616803175648,0.8485399066667544,-0.9254031202520698,0.1406214347475743,1.0320588220457565,0.0423542621075358,-0.037278528075088,0.0323509578373271,-0.0266037206397625,0.0058386110967751,0.0050593406279428,0.0066152452879114,percentile_bootstrap_subsample_20000,0.0033796126300311,0.0082976095635192,0.0012546140983936,0.1034783988763466,0.0898991822151118,0.1171760986759816,3.145692032681369e-07,1.0855721524547468e-06,True,0.00686758151285,-0.0004508547800315,0.9476013154954124,1.0,False,0.9998515536326408,1.0,False,not_significant,False,False
smc_swing_ob_bullish_formed,1,7275,494,2621,0.5696219931271478,0.006573651764506,0.0063508196797945,0.0516504830155367,0.6539100702322036,7.201170616758425,1.4391971078541863,0.006573651764506,0.6388995423020136,0.9767755724202728,-0.7072296742698978,0.1999680221184822,1.082176203685725,0.0394162621632967,-0.0337812615581919,0.0298254447662109,-0.0243635385547733,0.006573651764506,0.0054053317182342,0.00776076869711,percentile_bootstrap_full,0.0044086691114625,0.0087386344175495,0.0011046032748782,0.1272718352416693,0.1049022453214699,0.1498011639688752,2.662767185227842e-09,1.9128449983677565e-08,True,0.0071270064388693,-0.0005533546743633,0.7836965987594621,1.0,False,0.9296123207905082,1.0,False,not_significant,False,False
smc_equal_highs,-1,10483,495,2903,0.4247829819708099,-0.0075341879060914,-0.0080431540136407,0.058911524798308,-0.5014649634844555,8.707723417921581,0.695741161704682,-0.0075341879060914,-0.6420021082466565,-0.8746386311998192,-1.0,-0.2112416671071854,0.9397895997425696,0.0373116898372605,-0.0445010022938661,0.0265115525007706,-0.0334466537572892,-0.0075341879060914,-0.008686722132965,-0.0063904806444046,percentile_bootstrap_full,-0.0101383311914319,-0.0049300446207509,0.0013286689374603,-0.1278898811715667,-0.147626874003961,-0.1088957994897356,1.4239970131928938e-08,7.401407576997351e-08,True,-0.0069563277740563,-0.000577860132035,0.8370967115624752,1.0,False,1.0,1.0,False,not_significant,False,False
smc_internal_choch_bearish,-1,26315,496,3349,0.4363670910127303,-0.0076683959345759,-0.0074694778722737,0.0651361517381335,0.0234116525414649,6.294966054457042,0.7175747753913032,-0.0076683959345759,-0.5909934966888779,-0.8390693791214253,-1.0,-0.2207725883995141,0.9242923019082788,0.0429958992403471,-0.0486731969051892,0.0306153952888759,-0.0371890586806751,-0.007494193987436,-0.0084023640254375,-0.0065968302480439,percentile_bootstrap_subsample_20000,-0.0121539027467325,-0.0028344852281396,0.0023774460955897,-0.114537868284746,-0.1285373571547215,-0.1005804353142405,0.0012576326658045,0.0021489645551611,True,-0.007083410309922,-0.0005849856246539,0.9411939898974524,1.0,False,1.0,1.0,False,not_significant,False,False
smc_fvg_bullish_formed,1,68004,496,3881,0.5558643609199458,0.0065334826287078,0.0065779957931342,0.0662544613066918,0.4360013243603449,8.332658420326139,1.328473390473521,0.0065334826287078,0.4950281362208434,0.7194109812265294,-0.9918207162980088,0.1164504206081493,1.057935887236433,0.0495653006000271,-0.0445121744948046,0.0359126840555618,-0.0318665990761324,0.0059469434927816,0.0050423890767364,0.0068685818829981,percentile_bootstrap_subsample_20000,0.0023423764733801,0.0095515105121832,0.0018390985851788,0.0901589977992598,0.0768067086569541,0.103988992613183,0.0003815220643772,0.0007338566484196,True,0.0071342789100207,-0.0006007962813129,0.99540203809424,1.0,False,0.9995843308537108,1.0,False,not_significant,False,False
smc_internal_choch_bullish,1,26396,496,3573,0.5678890741021367,0.0063951662191522,0.0076113684474428,0.0604210461914126,0.3264691475312088,6.493044308796982,1.3482839618657367,0.0063951662191522,0.5313294233590591,0.7646388176440233,-0.8738818958391211,0.1396069249780011,1.0220514115197044,0.0446508044172,-0.0393782166365504,0.0337625715902458,-0.0279529025170717,0.0063609485589381,0.0055186350916448,0.0071848595706561,percentile_bootstrap_subsample_20000,0.0033811349871022,0.009340762130774,0.0015203409714851,0.1053380851193724,0.0913752298174328,0.1188966067063202,2.5946783003407885e-05,6.08884507813305e-05,True,0.0070818360884156,-0.0006866698692634,0.9671142148794576,1.0,False,0.9972006492036036,1.0,False,not_significant,False,False
ict_bpr_bearish,-1,26182,496,3238,0.4397295852112138,-0.007852787976803,-0.007514065222767,0.0649880223843514,-0.3109089341891538,6.544892396773436,0.7136008661310106,-0.007852787976803,-0.6065838186164505,-0.8349819930568393,-1.0,-0.2259226545436918,0.907543114904044,0.0425225762148589,-0.0495964982773383,0.0302722061574403,-0.03717976991347,-0.0081016648528556,-0.0089905738176379,-0.0071906250449031,percentile_bootstrap_subsample_20000,-0.0120559043760231,-0.004147425329688,0.0020175062007095,-0.1236640255859412,-0.1374379480201014,-0.1099114327071709,9.928848973223492e-05,0.0002043833238932,True,-0.0071625173392795,-0.0006902706375234,0.9658887329866196,1.0,False,1.0,1.0,False,not_significant,False,False
smc_swing_bos_bearish,-1,1245,445,664,0.4369477911646586,-0.0075868571605451,-0.0093436880998756,0.0889488662397045,0.7136810064687076,6.2751922719390265,0.780241421776566,-0.0075868571605451,-0.4281754483174194,-0.6500590322704443,-0.9999994733718776,-0.2532861763452276,1.003987123609552,0.057803602687236,-0.0640298872730918,0.0374908845652031,-0.0487288620600032,-0.0075868571605451,-0.0125094201236176,-0.0026326485844932,percentile_bootstrap_full,-0.018601600795033,0.0034278864739427,0.005619870382562,-0.0852945909405932,-0.1442708931510355,-0.0286827755559743,0.1770141481863612,0.1971803169670858,False,-0.006712994705132,-0.000873862455413,0.6810424519010012,1.0,False,0.9999999984678796,1.0,False,not_significant,False,False
smc_equal_lows,1,9341,495,2623,0.5511187239053634,0.005974045072359,0.0056553979357385,0.0588924169996906,0.2840098296706465,6.869153983780226,1.3335496421572552,0.005974045072359,0.5092246129529957,0.7446383193629071,-0.922548121700615,0.1220062824875881,1.083055760267965,0.0435671277123115,-0.0383701294569771,0.0325305919661542,-0.0272518566683116,0.005974045072359,0.0047680995898665,0.0071398741365281,percentile_bootstrap_full,0.0033242090360102,0.0086238811087077,0.0013519819937247,0.1014399709964423,0.0810766264483504,0.1213287656443379,9.928201638035931e-06,2.5508956033493786e-05,True,0.0070077111150639,-0.0010336660427048,0.9482885402630774,1.0,False,0.992379709406934,1.0,False,not_significant,False,False
ict_bpr_bullish,1,26830,496,3288,0.5595974655236675,0.006190668484569,0.0068384872670889,0.0626845626044529,0.1375848487604635,5.075353477875932,1.3210031056207234,0.006190668484569,0.4957665469802871,0.7056489530219877,-0.9435191279189356,0.1186841781768172,1.0361084702137762,0.0463650960402031,-0.0413812735564962,0.034936866330393,-0.0293680706342487,0.0060858777354605,0.0052394134153674,0.0069388753779495,percentile_bootstrap_subsample_20000,0.0026235153247101,0.0095482401462108,0.0017665438807806,0.0977057747551546,0.0840201356334744,0.1115198658007275,0.0004576450829154,0.0008523336993981,True,0.0072374171347075,-0.0010467486501385,0.9972843311401228,1.0,False,0.999328464929191,1.0,False,not_significant,False,False
smc_swing_bos_bullish,1,4576,492,2154,0.5697115384615384,0.006122059129534,0.0062187606018355,0.0497246617223495,0.592200591689004,7.995827210119556,1.4247754070054195,0.006122059129534,0.6180533332565995,0.9133786529664508,-0.6715250052069701,0.1953380709274875,1.070631002042047,0.037518864667734,-0.0321964832355158,0.0287133601638269,-0.0228362480965331,0.006122059129534,0.004687742284448,0.0075233327670917,percentile_bootstrap_full,0.003882076766609,0.0083620414924591,0.0011428691358234,0.1231191710004619,0.0945899347868496,0.1508263370047688,8.473432941639431e-08,3.468195808671023e-07,True,0.007233317647961,-0.0011112585184269,0.8976131031104506,1.0,False,0.9661333524434064,1.0,False,not_significant,False,False
ict_liquidity_sellside_pool_formed,-1,51635,495,3812,0.4251767212162293,-0.0082296747785722,-0.0090014036815511,0.0647433857712262,0.2149595008792122,7.678966956357291,0.6986155066961769,-0.0082296747785722,-0.6380982245448632,-0.9314165968220784,-1.0,-0.2353208399943725,0.9421794626154872,0.041919130538255,-0.0489096638637429,0.0291092916088328,-0.0375203795381129,-0.0081279064898018,-0.0090181303384465,-0.0072280502125288,percentile_bootstrap_subsample_20000,-0.0122096078244047,-0.004046205155199,0.0020825389316348,-0.1257883603732818,-0.1398039444701419,-0.1116350371652882,7.758152420746113e-05,0.0001655072516425,True,-0.0068871074769137,-0.0013425673016585,0.9999998401006972,1.0,False,1.0,1.0,False,not_significant,False,False
ict_mss_bearish,-1,36553,496,3540,0.4294038792985528,-0.0084623701195708,-0.0084442687519528,0.063558395723184,-0.0896495512122142,6.29389524349499,0.6876712922019007,-0.0084623701195708,-0.6683737115975126,-0.9377700115983196,-1.0,-0.2345609165276044,0.911418571080284,0.0418866422725691,-0.0482492839173391,0.0299859648952779,-0.037056603883474,-0.0081861572541433,-0.0090754076767379,-0.0073074166520422,percentile_bootstrap_subsample_20000,-0.0123010985155722,-0.0040712159927143,0.0020994983894749,-0.1277430777265112,-0.141881959033334,-0.1138453056538491,5.561978207248223e-05,0.0001216034986926,True,-0.0071051442793814,-0.0013572258401894,0.999990747902712,1.0,False,1.0,1.0,False,not_significant,False,False
ict_displacement_bullish,1,212461,496,4045,0.5603757866149552,0.0056631236355506,0.0064648459166241,0.0600854904982137,0.2552340461232614,8.319477692837232,1.3093364648985213,0.0056631236355506,0.4731367721456603,0.6660163890593427,-0.9982810036206508,0.1019391871141435,1.023039398000848,0.0439511649577862,-0.0398502716295398,0.0328299161095873,-0.0278828811628936,0.0055110157242725,0.0046778482900977,0.006365115676692,percentile_bootstrap_subsample_20000,0.0030380464938855,0.0079839849546596,0.0012617421699516,0.0906609093295196,0.0770761708378373,0.1046562185165164,7.178143013696319e-06,1.885601746881421e-05,True,0.0072136732067465,-0.0015505495711958,1.0,1.0,False,1.0,1.0,False,not_significant,False,False
ict_fvg_bullish_formed,1,112181,496,3897,0.5589716618678743,0.0056419965023506,0.0062563990054116,0.0591235506250743,0.4810577175547444,9.01780021565205,1.3145178891286882,0.0056419965023506,0.4790408789853584,0.692654707746504,-0.9773105866017984,0.1056433242391069,1.0333176377209723,0.0434980263801345,-0.0391950250630131,0.0322696530159505,-0.0278180447757829,0.0054532206485251,0.0046389446899533,0.0062305053740057,percentile_bootstrap_subsample_20000,0.0030180923722134,0.0078883489248368,0.0012424352061117,0.0932140523315638,0.0794196595694292,0.1065815370808627,5.596703673015203e-06,1.508582126481166e-05,True,0.0072716797912096,-0.001629683288859,1.0,1.0,False,1.0,1.0,False,not_significant,False,False
smc_internal_ob_bearish_formed,-1,42864,496,3649,0.4270483389324375,-0.0087024317979142,-0.0089724907064304,0.0688086831196796,0.2134062249780214,6.117154426914588,0.6982063024242101,-0.0087024317979142,-0.6348887805008624,-0.9200531938090613,-1.0,-0.2456538152930868,0.9344636002781056,0.0449770178351926,-0.0512701543293432,0.0312943199347431,-0.0388891069098618,-0.0076449237893807,-0.0086071188258675,-0.0066673717834914,percentile_bootstrap_subsample_20000,-0.0126035298178405,-0.0026863177609209,0.002529947503352,-0.109832131247197,-0.1241309406249284,-0.0955245287755145,0.000582213600127,0.001056387563117,True,-0.0070703526730708,-0.0016320791248434,0.9999999846653034,1.0,False,1.0,1.0,False,not_significant,False,False
ict_ob_bearish_formed,-1,22431,496,3167,0.4277562302171102,-0.0086744365955981,-0.0090446905945686,0.0708431847914538,0.268675885732959,6.204029593278023,0.705344094119051,-0.0086744365955981,-0.6146720569047704,-0.8934793625567634,-1.0,-0.2477344472203309,0.9415369627385934,0.0470457011288973,-0.0523205853413417,0.0325616815452697,-0.0396435424032053,-0.0086957572215499,-0.0096928048527192,-0.0077195040690316,percentile_bootstrap_subsample_20000,-0.0147480430274437,-0.0026434714156561,0.0030879576389636,-0.1225404158517516,-0.1369675388288919,-0.1083846429169148,0.0049677474285574,0.0075049231538721,True,-0.007026705567538,-0.00164773102806,0.9999707566673388,1.0,False,1.0,1.0,False,not_significant,False,False
ict_fvg_bearish_formed,-1,90730,496,3867,0.4286013446489584,-0.0087778230800699,-0.0087001894659577,0.0688431333586926,0.0490253685212209,8.495938720662645,0.6929134234525384,-0.0087778230800699,-0.640068515140192,-0.8935188178936774,-1.0,-0.2482595283723551,0.9216334765149188,0.0436076650785908,-0.0513198449785005,0.0298830161175649,-0.0382432337589363,-0.0082983144510253,-0.0092564877766,-0.0073375927989515,percentile_bootstrap_subsample_20000,-0.0126986803819891,-0.0038979485200616,0.0022451258956612,-0.1195006608635689,-0.1337974208301379,-0.1055500338845624,9.2401553995339e-05,0.0001913255706256,True,-0.0071196275989601,-0.0016581954811098,1.0,1.0,False,1.0,1.0,False,not_significant,False,False
ict_ob_bullish_formed,1,32541,496,3704,0.5644571463691958,0.0055280233880096,0.0064845262897952,0.0563592362399698,0.4639045324934915,8.338552547979788,1.3232618450053677,0.0055280233880096,0.4923852596014789,0.7075149558779004,-0.9128174889012516,0.1144891235571241,1.0160040178631695,0.0415857897618366,-0.037058456517777,0.0313783723719645,-0.0262517200591193,0.0057357038212367,0.0049621184251164,0.0065206961050279,percentile_bootstrap_subsample_20000,0.0035303907330479,0.0079410169094256,0.0011251804054507,0.1016530573057856,0.0881166644147131,0.1153413427637179,8.968837345878564e-07,2.896358482338766e-06,True,0.0071905621832946,-0.001662538795285,0.9999996734906992,1.0,False,0.9999999965055112,1.0,False,not_significant,False,False
ict_displacement_bearish,-1,190415,496,4069,0.4268886379749494,-0.0090159942042497,-0.0084535245442849,0.0652519562776657,-0.1620051900771678,9.44520573135058,0.6731773309676522,-0.0090159942042497,-0.693618004468068,-0.9506890835874212,-1.0,-0.2506232442713889,0.9013682639386764,0.0415976562292739,-0.0492625144019591,0.0290283595587742,-0.0366376643479819,-0.0090883508835242,-0.0099882376563769,-0.0081971938265367,percentile_bootstrap_subsample_20000,-0.0122372416608304,-0.005939460106218,0.0016066064362948,-0.1398798840727869,-0.1540604978831057,-0.1260824941835581,2.002038224616606e-08,9.707351932153008e-08,True,-0.007124264830897,-0.0018917293733527,1.0,1.0,False,1.0,1.0,False,not_significant,False,False
ict_liquidity_sellside_swept,-1,32884,495,3718,0.4205084539593723,-0.0088453830526892,-0.0096483999807519,0.0689675016405407,0.472897021893942,6.32231106769158,0.6937500218507934,-0.0088453830526892,-0.6438317970227996,-0.9570500406577216,-1.0,-0.2478883258577994,0.9542825546444852,0.0453431350878081,-0.0513568081765424,0.0311435375602084,-0.0394416125124215,-0.0082068899755026,-0.009158762098986,-0.0072538858293218,percentile_bootstrap_subsample_20000,-0.0131659676209634,-0.0032478123300418,0.0025301881286905,-0.1199952212598515,-0.1345629498914974,-0.1054542381753816,0.0004723968913933,0.0008751773987918,True,-0.0068706232631341,-0.001974759789555,0.9999999984340966,1.0,False,1.0,1.0,False,not_significant,False,False
smc_internal_ob_bullish_formed,1,58340,496,3895,0.5579876585533082,0.0051984258096331,0.005899601142312,0.0572212558865863,0.5122795325537792,7.847663501146396,1.2954837106759465,0.0051984258096331,0.4560523891097557,0.6675584796691612,-0.9270260774824384,0.1015806718275311,1.0218056632358183,0.0418617362534705,-0.0379740087563909,0.0310974916724438,-0.0272088354699181,0.005473581866017,0.0046908411289104,0.0062648432973439,percentile_bootstrap_subsample_20000,0.0032804255970505,0.0076667381349835,0.001118977832739,0.0954598703979971,0.0819751321348129,0.1088347904299325,3.389391877333457e-06,9.63643794121457e-06,True,0.0071791530291907,-0.0019807272195576,0.9999999999999992,1.0,False,1.0,1.0,False,not_significant,False,False
ict_volume_imbalance_bullish,1,117546,496,3872,0.5551443690129821,0.0050128544465555,0.0056853964140028,0.0587521245753676,0.3101096990945041,10.683211403033058,1.2783972067633884,0.0050128544465555,0.4283135254678121,0.5992073506394096,-0.9865593688918556,0.0871832423313164,1.0208370492686636,0.0421943474266707,-0.0392988827113293,0.0312286540229381,-0.0276927780801934,0.005296728376935,0.0044623141767606,0.0061095406345546,percentile_bootstrap_subsample_20000,0.0028306059962689,0.0077628507576011,0.001258248815114,0.0892417894425665,0.0753324860849893,0.1027213721222932,6.776687519845779e-05,0.0001465967283901,True,0.0070932330694562,-0.0020803786229006,1.0,1.0,False,1.0,1.0,False,not_significant,False,False
ict_volume_imbalance_bearish,-1,84642,496,3769,0.4163181399305309,-0.0093969326870335,-0.0100480433027178,0.0675463695185296,0.0140181397874516,9.27530470009974,0.669331950214672,-0.0093969326870335,-0.6983680698737467,-0.9831983688819071,-1.0,-0.2607814638659879,0.936453103965422,0.0423447968715054,-0.0504842435565787,0.0285247701547875,-0.0378225923409462,-0.0093109824478857,-0.0102627040718727,-0.008364295798093,percentile_bootstrap_subsample_20000,-0.0136651585109792,-0.0049568063847921,0.0022215592036861,-0.1355357389794822,-0.1498065557241947,-0.121436807481905,2.338142058919634e-05,5.560986518511562e-05,True,-0.0070807676453006,-0.0023161650417329,1.0,1.0,False,1.0,1.0,False,not_significant,False,False
